x_fb,z_fbU,z_fbL,w_fb,x_sb,z_sbU,z_sbL,w_sb,x_sb2,z_sbU2,z_sbL2,w_sb2
0.0037165,0.007433,-0.007433,0.022299,0.96629,-0.022299,-0.0312186,0.0089196,1.375105,-0.0535176,-0.0758166,0.0178392
0.066897,0.080524167,-0.080524167,0.133794,1.0071715,-0.0089196,-0.0564908,0.0609506,1.4159865,-0.0312186,-0.0981156,0.0683836
0.178392,0.143704667,-0.143704667,0.22299,1.062919,0,-0.0758166,0.0921692,1.471734,-0.014866,-0.1070352,0.0996022
0.2936035,0.187063833,-0.187063833,0.277498667,1.11495,0.0014866,-0.0862228,0.104062,1.523765,-0.007433,-0.1100084,0.1144682
0.3976655,0.220512333,-0.220512333,0.307230667,1.1706975,0.0029732,-0.0951424,0.1025754,1.575796,-0.0044598,-0.1070352,0.1159548
0.498011,0.240333667,-0.240333667,0.327052,1.2152955,-0.0029732,-0.096629,0.0981156,1.6241105,-0.0089196,-0.1129816,0.1049548
0.609506,0.262632667,-0.262632667,0.336962667,1.271043,-0.0163526,-0.0936558,0.0758166,1.679858,-0.0163526,-0.1204146,0.0919816
0.7321505,0.284931667,-0.284931667,0.351828667,1.315641,-0.037165,-0.0802764,0.0460846,1.724456,-0.0267588,-0.1323074,0.080495
0.839929,0.307230667,-0.307230667,0.361739333,1.33794,-0.0579774,-0.0624372,0.0089196,1.78392,-0.0356784,-0.1456868,0.0794682
0.9625735,0.322096667,-0.322096667,0.376605333,,,,,1.828518,-0.0490578,-0.1590662,0.0680816
1.0592025,0.328290833,-0.328290833,0.386516,,,,,1.8768325,-0.0683836,-0.1679858,0.059629
1.166981,0.3307685,-0.3307685,0.388993667,,,,,1.9214305,-0.1025754,-0.1679858,0.0309506
1.3044915,0.329529667,-0.329529667,0.381560667,,,,,1.9511625,-0.1471734,-0.1605528,0.0133794
1.4011205,0.328290833,-0.328290833,0.381560667,,,,,,,,
1.4903165,0.324574333,-0.324574333,0.376605333,,,,,,,,
1.612961,0.319619,-0.319619,0.379083,,,,,,,,
1.724456,0.310947167,-0.310947167,0.366694667,,,,,,,,
1.8322345,0.3010365,-0.3010365,0.351828667,,,,,,,,
1.9362965,0.283692833,-0.283692833,0.324574333,,,,,,,,
2.058941,0.262632667,-0.262632667,0.294842333,,,,,,,,
2.1667195,0.2341395,-0.2341395,0.265110333,,,,,,,,
2.281931,0.208124,-0.208124,0.240333667,,,,,,,,
2.37856,0.187063833,-0.187063833,0.227945333,,,,,,,,
2.4937715,0.173436667,-0.173436667,0.218034667,,,,,,,,
2.60155,0.162287167,-0.162287167,0.213079333,,,,,,,,
2.7093285,0.154854167,-0.154854167,0.203168667,,,,,,,,
2.82454,0.147421167,-0.147421167,0.190780333,,,,,,,,
2.9323185,0.142465833,-0.142465833,0.173436667,,,,,,,,
3.0438135,0.1375105,-0.1375105,0.151137667,,,,,,,,
3.159025,0.133794,-0.133794,0.128838667,,,,,,,,
3.263087,0.131316333,-0.131316333,0.099106667,,,,,,,,
3.3559995,0.116450333,-0.116450333,0.069374667,,,,,,,,
3.448912,0.0780465,-0.0780465,0.039642667,,,,,,,,
3.471211,0.014866,-0.014866,0.014866,,,,,,,,
